[00:04.090 --> 00:06.090]  Sibyl score...
[01:53.160 --> 01:55.060]  Then what rate do you want to take out of 10?
[01:56.880 --> 01:57.480]  Because...
[01:57.480 --> 01:59.500]  Ok, you suppose...
[02:01.460 --> 02:02.560]  900 top score.
[02:02.580 --> 02:03.120]  Do you know what I mean?
[02:03.840 --> 02:05.020]  It becomes critical.
[02:05.960 --> 02:07.020]  Then can you give an approximate?
[02:10.800 --> 02:12.180]  Not approximate, bro.
[02:13.340 --> 02:14.020]  Because...
[02:14.020 --> 02:16.040]  I don't have any approximate here.
[02:16.380 --> 02:16.740]  You want it accurate?
[02:17.660 --> 02:17.900]  Yes.
[02:18.280 --> 02:19.360]  Means, you...
[02:19.360 --> 02:20.280]  Now you will say approximate.
[02:21.060 --> 02:22.620]  And then you will put a star on the bottom.
[02:22.980 --> 02:24.880]  That actually you will get the result of your invalid.
[02:26.600 --> 02:28.300]  Then why are you throwing it to me?
[02:31.000 --> 02:31.680]  Not approximate.
[02:32.220 --> 02:32.560]  Ok.
[02:32.560 --> 02:33.940]  But this...
[02:33.940 --> 02:35.980]  First of all, everyone knows the exact score.
[02:40.180 --> 02:40.980]  And...
[02:40.980 --> 02:42.900]  And then what I feel...
[02:42.900 --> 02:45.180]  Bro, every point will be consequential.
[02:46.180 --> 02:47.920]  Yes, then let's see it clearly.
[02:48.880 --> 02:50.560]  Yes, let's see it clearly or...
[03:07.430 --> 03:08.870]  I feel that...
[03:09.790 --> 03:10.770]  I mean...
[03:10.770 --> 03:11.950]  I have 776 also.
[03:12.670 --> 03:13.630]  Show me the offer of 780
[03:13.630 --> 03:16.290]  and I will negotiate with the offeror.
[03:21.080 --> 03:24.040]  So you tell them that there is not much of a consequence.
[03:26.860 --> 03:28.400]  Ten windows work here and there.
[03:29.180 --> 03:30.180]  You have to give me an assurance.
[03:32.080 --> 03:33.080]  That bro, ten goes ahead.
[03:34.780 --> 03:35.720]  Same here.
[03:35.980 --> 03:36.800]  Don't throw so much.
[03:37.300 --> 03:39.640]  You have to throw 776 or 778.
[03:40.620 --> 03:42.400]  But the rates change with the banks.
[03:43.050 --> 03:45.540]  Even if two banks are new, they will have to wait for ten minutes.
[03:48.400 --> 03:48.920]  Yes.
[03:49.520 --> 03:50.820]  But which bank...
[03:50.820 --> 03:52.220]  Where is the breakout?
[03:52.860 --> 03:55.980]  Suppose one bank says 800 to 810.
[03:56.240 --> 04:00.120]  Then one bank says 850 to 812.
[04:01.600 --> 04:02.160]  They say so.
[04:02.400 --> 04:03.300]  They don't do it in parallel.
[04:04.240 --> 04:05.720]  Everyone has 810 or 810.
[04:06.640 --> 04:08.060]  Not everyone.
[04:08.060 --> 04:14.620]  What does it mean?
[04:15.280 --> 04:15.500]  What does it mean?
[04:27.000 --> 04:28.220]  Minimum Sibyl Score.
[04:29.280 --> 04:29.440]  What does it mean?
[04:32.480 --> 04:34.080]  What is the main thing?
[04:34.180 --> 04:35.760]  You don't want to put the exact.
[04:36.060 --> 04:37.220]  That is the main concern.
[04:38.660 --> 04:43.780]  The main thing is that I feel that
[04:43.780 --> 04:45.000]  I will change a lot in one or two points.
[04:46.780 --> 04:49.100]  He is changing in real life.
[04:54.600 --> 04:55.540]  Thinking.
[04:55.820 --> 04:56.560]  What is the main thing?
[04:57.060 --> 04:57.820]  What is the problem?
[04:58.680 --> 05:00.480]  Once I actually have to go.
[05:28.490 --> 05:30.840]  I feel that I will increase the loan interest.
[05:33.600 --> 05:35.480]  And hopefully.
[05:37.680 --> 05:38.320]  How much do you want?
[05:39.500 --> 05:40.900]  This is what I feel.
[05:40.900 --> 05:42.100]  If I have 750.
[05:43.340 --> 05:45.260]  But I feel that
[05:45.260 --> 05:46.100]  How much do you want?
[05:46.520 --> 05:46.940]  Tell me.
[05:47.940 --> 05:49.580]  Then I will take it.
[05:51.240 --> 05:52.920]  Tell him not to give so much stress.
[05:56.400 --> 05:57.340]  I don't know so many 5-10 points.
[05:59.540 --> 06:00.680]  But I fall down a lot.
[06:19.520 --> 06:20.880]  At least.
[06:20.880 --> 06:21.560]  What is my score?
[06:22.900 --> 06:24.320]  You are putting the minimum out.
[06:28.380 --> 06:30.960]  I know that these offers are relevant.
[06:31.540 --> 06:33.560]  If I increase the score, it will be better.
[06:37.060 --> 06:38.240]  No mean.
[06:38.420 --> 06:39.200]  Civil score.
[06:39.720 --> 06:43.160]  But no.
[06:43.760 --> 06:45.920]  Civil score is the same.
[06:46.160 --> 06:47.540]  Where do I get the minimum?
[06:47.540 --> 06:49.140]  What is my minimum score?
[06:50.700 --> 06:51.980]  There is no difference in the approximate.
[06:52.660 --> 06:52.980]  No.
[06:53.260 --> 06:54.420]  What is the approximate?
[06:56.680 --> 06:58.700]  Then the lower results are also approximate.
[07:08.840 --> 07:11.620]  Suppose I have 766.
[07:15.400 --> 07:16.700]  Now you have given me 500.
[07:17.960 --> 07:19.560]  Then I know that
[07:19.560 --> 07:20.740]  1-2 points are ahead.
[07:20.740 --> 07:22.680]  I don't remember my score.
[07:23.260 --> 07:24.620]  But it was average.
[07:25.520 --> 07:26.800]  1-2 points are ahead.
[07:27.080 --> 07:27.820]  Then let it go.
[07:28.580 --> 07:30.180]  But you always say that
[07:30.180 --> 07:31.680]  one point should not be perfect.
[07:36.560 --> 07:38.740]  When a person puts 766,
[07:40.340 --> 07:42.540]  then the drop downs are open.
[07:43.020 --> 07:43.840]  When he puts 7,
[07:45.320 --> 07:48.060]  then the next 5-5 drop downs of 7
[07:48.060 --> 07:48.280]  are open.
[07:48.280 --> 07:49.560]  And then it keeps decreasing.
[07:51.340 --> 07:53.200]  There are such searches on Amazon.
[07:54.160 --> 07:54.880]  If you put a football,
[07:55.260 --> 07:56.720]  the football is 24 inches.
[07:58.060 --> 07:59.400]  In the next HS selection,
[07:59.920 --> 08:00.900]  all such things are selected.
[08:04.980 --> 08:06.420]  And here we
[08:06.420 --> 08:07.600]  give a range
[08:07.940 --> 08:08.900]  but do not give a drop down.
[08:09.780 --> 08:10.100]  Where?
[08:12.140 --> 08:12.880]  Like now,
[08:13.120 --> 08:14.680]  if you put 766,
[08:14.680 --> 08:16.140]  then the bottom is open.
[08:16.940 --> 08:17.940]  But the person who has seen it before
[08:17.940 --> 08:19.980]  will think that you should put it in action.
[08:20.680 --> 08:22.060]  But you should not put it in action.
[08:22.180 --> 08:23.260]  How do you tell him?
[08:23.700 --> 08:24.680]  You have to select it in the drop down.
[08:25.860 --> 08:27.680]  For that, you have to tell him
[08:27.680 --> 08:29.020]  that you have to write it.
[08:29.260 --> 08:30.600]  You have to write the range.
[08:31.240 --> 08:33.500]  But you should not give him a drop down option.
[08:35.400 --> 08:37.140]  Either he should select the drop down.
[08:37.500 --> 08:38.680]  Yes, yes, yes.
[08:39.700 --> 08:40.900]  Or it should be very big.
[08:41.320 --> 08:43.400]  Yes, yes, yes.
[08:43.400 --> 08:45.840]  Here you should not give him a drop down option.
[08:46.260 --> 08:47.280]  But you have to tell him that
[08:47.280 --> 08:48.060]  this is a window.
[08:48.380 --> 08:50.000]  Yes, it is a window. If you type it,
[08:50.380 --> 08:51.200]  the window will not open.
[08:51.540 --> 08:53.080]  Like it is normally done in Amazon.
[08:53.940 --> 08:54.980]  When you type F, it freezes.
