bank_name,bank_key,facility_type,charge_name,rate_type,charge_status,percentage,percentage_base_value,fixed_amount,gst_applicable,has_slab_wise_charges,slab_from,slab_to,slab_basis,loan_amount_band_applicable,loan_amount_min,loan_amount_max,months_from_event_min,months_from_event_max,months_from_event_basis,percentage_applies_per,source_url,note_1,csv_cell_ref
Union Bank of India,union bank of india,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.unionbankofindia.bank.in/pdf/service%20charges-domestic%20rupee%20advances-corp%20website.pdf,Prepayment nil (CSV NIL),Union Bank of India|TL_self
Union Bank of India,union bank of india,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.unionbankofindia.bank.in/pdf/service%20charges-domestic%20rupee%20advances-corp%20website.pdf,,Union Bank of India|TL_take
Union Bank of India,union bank of india,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.unionbankofindia.bank.in/pdf/service%20charges-domestic%20rupee%20advances-corp%20website.pdf,Prepayment nil (CSV NIL),Union Bank of India|OD_self
Union Bank of India,union bank of india,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.unionbankofindia.bank.in/pdf/service%20charges-domestic%20rupee%20advances-corp%20website.pdf,,Union Bank of India|OD_take
Bank of Baroda,bank of baroda,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://bankofbaroda.bank.in/interest-rate-and-service-charges/service-charges,Prepayment nil (CSV NIL),Bank of Baroda|TL_self
Bank of Baroda,bank of baroda,Term Loan,Prepayment charges (takeover),Fixed,charged,0.005,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://bankofbaroda.bank.in/interest-rate-and-service-charges/service-charges,,Bank of Baroda|TL_take
Bank of Baroda,bank of baroda,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://bankofbaroda.bank.in/interest-rate-and-service-charges/service-charges,Prepayment nil (CSV NIL),Bank of Baroda|OD_self
Bank of Baroda,bank of baroda,Overdraft,Prepayment charges (takeover),Fixed,charged,0.005,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://bankofbaroda.bank.in/interest-rate-and-service-charges/service-charges,,Bank of Baroda|OD_take
Indian Bank,indian bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,,Prepayment nil (CSV NIL),Indian Bank|TL_self
Indian Bank,indian bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,,,Indian Bank|TL_take
Indian Bank,indian bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,,Prepayment nil (CSV NIL),Indian Bank|OD_self
Indian Bank,indian bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,,,Indian Bank|OD_take
Canara Bank,canara bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,,Prepayment nil (CSV NIL),Canara Bank|TL_self
Canara Bank,canara bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,,,Canara Bank|TL_take
Canara Bank,canara bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,,Prepayment nil (CSV NIL),Canara Bank|OD_self
Canara Bank,canara bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,,,Canara Bank|OD_take
Indian Overseas Bank,indian overseas bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.iob.bank.in/documents/d/guest/revision_of_service_charges_01042026,Prepayment nil (CSV NIL),Indian Overseas Bank|TL_self
Indian Overseas Bank,indian overseas bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.iob.bank.in/documents/d/guest/revision_of_service_charges_01042026,,Indian Overseas Bank|TL_take
Indian Overseas Bank,indian overseas bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.iob.bank.in/documents/d/guest/revision_of_service_charges_01042026,Prepayment nil (CSV NIL),Indian Overseas Bank|OD_self
Indian Overseas Bank,indian overseas bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.iob.bank.in/documents/d/guest/revision_of_service_charges_01042026,,Indian Overseas Bank|OD_take
Bandhan Bank,bandhan bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.04,Outstanding_Amount,,Yes,No,,,,,,,0,12,disbursement,once,https://bandhan.bank.in/rates-charges#rctabone2 | https://bandhan.bank.in/sites/default/files/2025-11/Schedule-of-Charges-of-home-loan-and-LAP-11112025.pdf,Loan age under 12 months from disbursement (assumed),Bandhan Bank|TL_take|lt12
Bandhan Bank,bandhan bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Outstanding_Amount,,Yes,No,,,,,,,12,,disbursement,once,https://bandhan.bank.in/rates-charges#rctabone2 | https://bandhan.bank.in/sites/default/files/2025-11/Schedule-of-Charges-of-home-loan-and-LAP-11112025.pdf,Loan age 12+ months from disbursement (assumed),Bandhan Bank|TL_take|ge12
Axis Bank,axis bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.axis.bank.in/loans/home-loan/interest-rates-charges#feescharges,Prepayment nil (CSV NIL),Axis Bank|TL_self
Axis Bank,axis bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.axis.bank.in/loans/home-loan/interest-rates-charges#feescharges,,Axis Bank|TL_take
Axis Bank,axis bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.axis.bank.in/loans/home-loan/interest-rates-charges#feescharges,Prepayment nil (CSV NIL),Axis Bank|OD_self
Axis Bank,axis bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.axis.bank.in/loans/home-loan/interest-rates-charges#feescharges,,Axis Bank|OD_take
HDFC Bank,hdfc bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.hdfc.bank.in/home-loan/fees-and-charges,Prepayment nil (CSV NIL),HDFC Bank|TL_self
HDFC Bank,hdfc bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.hdfc.bank.in/home-loan/fees-and-charges,,HDFC Bank|TL_take
HDFC Bank,hdfc bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.hdfc.bank.in/home-loan/fees-and-charges,Prepayment nil (CSV NIL),HDFC Bank|OD_self
HDFC Bank,hdfc bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.hdfc.bank.in/home-loan/fees-and-charges,,HDFC Bank|OD_take
DCB Bank,dcb bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.dcb.bank.in/api/dcb/assets/2026-02/DCB%20Home%20Loan%20%26%20DCB%20Flexi%20Loan.pdf,Prepayment nil (CSV NIL),DCB Bank|TL_self
DCB Bank,dcb bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.04,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dcb.bank.in/api/dcb/assets/2026-02/DCB%20Home%20Loan%20%26%20DCB%20Flexi%20Loan.pdf,,DCB Bank|TL_take
DCB Bank,dcb bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.dcb.bank.in/api/dcb/assets/2026-02/DCB%20Home%20Loan%20%26%20DCB%20Flexi%20Loan.pdf,Prepayment nil (CSV NIL),DCB Bank|OD_self
DCB Bank,dcb bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.04,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dcb.bank.in/api/dcb/assets/2026-02/DCB%20Home%20Loan%20%26%20DCB%20Flexi%20Loan.pdf,,DCB Bank|OD_take
Dhanlaxmi Bank,dhanlaxmi bank,Term Loan,Prepayment charges,Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dhan.bank.in/pdf/Schedule-of-Charges-Loans-and-Advances-wef-10.03.2026.pdf,,Dhanlaxmi Bank|TL_self
Dhanlaxmi Bank,dhanlaxmi bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dhan.bank.in/pdf/Schedule-of-Charges-Loans-and-Advances-wef-10.03.2026.pdf,,Dhanlaxmi Bank|TL_take
Dhanlaxmi Bank,dhanlaxmi bank,Overdraft,Prepayment charges,Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dhan.bank.in/pdf/Schedule-of-Charges-Loans-and-Advances-wef-10.03.2026.pdf,,Dhanlaxmi Bank|OD_self
Dhanlaxmi Bank,dhanlaxmi bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.dhan.bank.in/pdf/Schedule-of-Charges-Loans-and-Advances-wef-10.03.2026.pdf,,Dhanlaxmi Bank|OD_take
Federal Bank,federal bank,Term Loan,Prepayment charges,Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.federal.bank.in/rates-and-charges | https://www.federal.bank.in/documents/d/guest/retail-loan-charges-w-e-f-from-01-04-2026-1,,Federal Bank|TL_self
Federal Bank,federal bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.federal.bank.in/rates-and-charges | https://www.federal.bank.in/documents/d/guest/retail-loan-charges-w-e-f-from-01-04-2026-1,,Federal Bank|TL_take
ICICI Bank,icici bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.icici.bank.in/personal-banking/loans/home-loan/service-chargess,Prepayment nil (CSV NIL),ICICI Bank|TL_self
ICICI Bank,icici bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.icici.bank.in/personal-banking/loans/home-loan/service-chargess,,ICICI Bank|TL_take
ICICI Bank,icici bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.icici.bank.in/personal-banking/loans/home-loan/service-chargess,Prepayment nil (CSV NIL),ICICI Bank|OD_self
ICICI Bank,icici bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.03,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.icici.bank.in/personal-banking/loans/home-loan/service-chargess,,ICICI Bank|OD_take
IDBI Bank,idbi bank,Term Loan,Prepayment charges,Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,0,6,final_disbursement,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,Within 6 months from final disbursement,IDBI Bank|TL_self
IDBI Bank,idbi bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,6,,final_disbursement,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,After 6 months from final disbursement — nil,IDBI Bank|TL_self|after6m
IDBI Bank,idbi bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,,IDBI Bank|TL_take
IDBI Bank,idbi bank,Overdraft,Prepayment charges,Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,0,6,final_disbursement,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,Within 6 months from final disbursement,IDBI Bank|OD_self
IDBI Bank,idbi bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,6,,final_disbursement,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,After 6 months from final disbursement — nil,IDBI Bank|OD_self|after6m
IDBI Bank,idbi bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.idbi.bank.in/pdf/soc/Loan-Accounts-Structured-retail-asset-products.pdf,,IDBI Bank|OD_take
IDFC FIRST Bank,idfc first bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.idfcfirst.bank.in/personal-banking/loans/home-loan/fees-and-charges,Prepayment nil (CSV NIL),IDFC FIRST Bank|TL_self
IDFC FIRST Bank,idfc first bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.idfcfirst.bank.in/personal-banking/loans/home-loan/fees-and-charges,,IDFC FIRST Bank|TL_take
Kotak Mahindra Bank,kotak mahindra bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.kotak.bank.in/en/personal-banking/loans/home-loan/fees-and-charges.html,Prepayment nil (CSV NIL),Kotak Mahindra Bank|TL_self
Kotak Mahindra Bank,kotak mahindra bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.01,Outstanding_Amount,,Yes,No,,,,,,,,,,residual_year_to_original_maturity,https://www.kotak.bank.in/en/personal-banking/loans/home-loan/fees-and-charges.html,1% of outstanding per residual year to original maturity,Kotak Mahindra Bank|TL_take
Kotak Mahindra Bank,kotak mahindra bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.kotak.bank.in/en/personal-banking/loans/home-loan/fees-and-charges.html,Prepayment nil (CSV NIL),Kotak Mahindra Bank|OD_self
Kotak Mahindra Bank,kotak mahindra bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.01,Outstanding_Amount,,Yes,No,,,,,,,,,,residual_year_to_original_maturity,https://www.kotak.bank.in/en/personal-banking/loans/home-loan/fees-and-charges.html,1% of outstanding per residual year to original maturity,Kotak Mahindra Bank|OD_take
Nainital Bank,nainital bank,Term Loan,Prepayment charges,Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.nainitalbank.bank.in/pdf/Service_charges_fee.pdf | https://www.nainitalbank.bank.in/english/home.aspx#,,Nainital Bank|TL_self
Nainital Bank,nainital bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.nainitalbank.bank.in/pdf/Service_charges_fee.pdf | https://www.nainitalbank.bank.in/english/home.aspx#,,Nainital Bank|TL_take
RBL Bank,rbl bank,Term Loan,Prepayment charges,Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.rbl.bank.in/service-charges,,RBL Bank|TL_self
RBL Bank,rbl bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.rbl.bank.in/service-charges,,RBL Bank|TL_take
South Indian Bank,south indian bank,Term Loan,Prepayment charges,Fixed,charged,0.04,Amount_Being_Paid,,Yes,Yes,0,10000000,loan_amount,Yes,0,10000000,,,,once,https://www.southindianbank.bank.in/help-desk/service-charges,Up to Rs 1 crore loan amount (slab basis assumed),South Indian Bank|TL_self|le1cr
South Indian Bank,south indian bank,Term Loan,Prepayment charges,Fixed,charged,0.03,Amount_Being_Paid,,Yes,Yes,10000000.01,,loan_amount,Yes,10000000.01,,,,,once,https://www.southindianbank.bank.in/help-desk/service-charges,Above Rs 1 crore loan amount (slab basis assumed),South Indian Bank|TL_self|gt1cr
South Indian Bank,south indian bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.04,Amount_Being_Paid,,Yes,Yes,0,10000000,loan_amount,Yes,0,10000000,,,,once,https://www.southindianbank.bank.in/help-desk/service-charges,Up to Rs 1 crore loan amount (slab basis assumed),South Indian Bank|TL_take|le1cr
South Indian Bank,south indian bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.03,Amount_Being_Paid,,Yes,Yes,10000000.01,,loan_amount,Yes,10000000.01,,,,,once,https://www.southindianbank.bank.in/help-desk/service-charges,Above Rs 1 crore loan amount (slab basis assumed),South Indian Bank|TL_take|gt1cr
Yes Bank,yes bank,Term Loan,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.yes.bank.in/rates-and-charges | https://www.yes.bank.in/pdf?name=homeloan_pdf.pdf,Prepayment nil (CSV NIL),Yes Bank|TL_self
Yes Bank,yes bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.yes.bank.in/rates-and-charges | https://www.yes.bank.in/pdf?name=homeloan_pdf.pdf,,Yes Bank|TL_take
Yes Bank,yes bank,Overdraft,Prepayment charges,Fixed,nil,,,0,,No,,,,,,,,,,once,https://www.yes.bank.in/rates-and-charges | https://www.yes.bank.in/pdf?name=homeloan_pdf.pdf,Prepayment nil (CSV NIL),Yes Bank|OD_self_mirrored_TL
Yes Bank,yes bank,Overdraft,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://www.yes.bank.in/rates-and-charges | https://www.yes.bank.in/pdf?name=homeloan_pdf.pdf,,Yes Bank|OD_take_mirrored_TL
Jammu and Kashmir Bank,jammu and kashmir bank,Term Loan,Prepayment charges,Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://jkb.bank.in/ | https://jkb.bank.in/sites/default/files/2025-03/Service_Charges_Schedule_%28Advances%29.pdf,,Jammu and Kashmir Bank|TL_self
Jammu and Kashmir Bank,jammu and kashmir bank,Term Loan,Prepayment charges (takeover),Fixed,charged,0.02,Amount_Being_Paid,,Yes,No,,,,,,,,,,once,https://jkb.bank.in/ | https://jkb.bank.in/sites/default/files/2025-03/Service_Charges_Schedule_%28Advances%29.pdf,,Jammu and Kashmir Bank|TL_take
